SET,GCS_URI,LABEL
TEST,gs://gauss-grayscale-ids/test/partial_visibility/GICSD_45_3_93.png,PARTIAL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/partial_visibility/GICSD_48_6_193.png,PARTIAL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/partial_visibility/GICSD_45_6_193.png,PARTIAL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/partial_visibility/GICSD_46_7_213.png,PARTIAL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/partial_visibility/GICSD_31_7_213.png,PARTIAL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/partial_visibility/GICSD_9_0_13.png,PARTIAL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/partial_visibility/GICSD_41_7_213.png,PARTIAL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/partial_visibility/GICSD_49_1_53.png,PARTIAL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/partial_visibility/GICSD_28_5_173.png,PARTIAL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/partial_visibility/GICSD_39_1_33.png,PARTIAL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/partial_visibility/GICSD_9_6_193.png,PARTIAL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/partial_visibility/GICSD_29_6_193.png,PARTIAL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/partial_visibility/GICSD_31_1_53.png,PARTIAL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/partial_visibility/GICSD_1_1_33.png,PARTIAL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/partial_visibility/GICSD_30_3_93.png,PARTIAL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/partial_visibility/GICSD_40_7_233.png,PARTIAL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/partial_visibility/GICSD_39_7_213.png,PARTIAL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/partial_visibility/GICSD_50_2_73.png,PARTIAL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_49_1_33.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_19_3_113.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_22_2_73.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_23_2_73.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_32_3_93.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_15_4_133.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_8_8_253.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_39_4_133.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_43_1_33.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_35_1_33.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_29_2_73.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_46_9_293.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_13_4_133.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_36_5_173.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_28_9_293.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_32_1_53.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_40_8_253.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_24_3_93.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_25_3_93.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_32_0_13.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_13_9_273.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_31_9_293.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_37_8_253.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_6_4_133.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_4_1_53.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_38_0_13.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_45_4_133.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_10_9_293.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_23_8_253.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_43_0_13.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_43_3_113.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_4_8_253.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_35_1_53.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_48_5_153.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_32_5_153.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_14_4_133.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_21_9_273.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_8_1_53.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_34_0_13.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_24_8_253.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_48_1_53.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_5_5_173.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_6_5_153.png,FULL_VISIBILITY
TEST,gs://gauss-grayscale-ids/test/full_visibility/GICSD_3_1_53.png,FULL_VISIBILITY
